Maze,Fish_ID,Trial_ID,Trajectory,D_Point,Total_time
GRAVEL,1,8,2.294507681,D1,900
GRAVEL,1,9,8.638755383,D1,900
GRAVEL,1,10,9.336771213,D1,900
GRAVEL,1,11,6.894364074,D1,900
GRAVEL,1,12,3.475248994,D1,900
GRAVEL,1,13,8.757802763,D2,900
GRAVEL,1,14,2.222501167,D0,900
GRAVEL,1,15,3.555746235,D3,900
GRAVEL,1,16,14.75665793,D1,900
GRAVEL,1,17,3.920501472,D1,900
GRAVEL,1,18,7.582208598,D2,900
GRAVEL,1,19,12.49146223,D1,900
GRAVEL,1,20,6.730805048,D1,900
GRAVEL,2,1,37.0579537,D1,900
GRAVEL,2,2,32.82478198,D2,900
GRAVEL,2,3,22.19238304,D1,900
GRAVEL,2,4,17.06189132,D1,900
GRAVEL,2,5,21.93637938,D0,900
GRAVEL,2,6,21.55918526,D2,900
GRAVEL,2,7,33.63907095,D2,900
GRAVEL,2,8,36.34537959,D2,900
GRAVEL,2,9,24.83208226,D1,900
GRAVEL,2,10,30.48952439,D1,900
GRAVEL,2,11,18.7899434,D1,900
GRAVEL,2,12,25.31701116,D2,900
GRAVEL,2,13,25.43995493,D1,900
GRAVEL,2,14,25.88336456,D2,900
GRAVEL,2,15,23.26621358,D1,900
GRAVEL,2,16,24.57659168,D1,900
GRAVEL,2,17,29.0289638,D1,900
GRAVEL,2,18,25.88114915,D2,900
GRAVEL,2,19,43.20864611,D1,900
GRAVEL,2,20,41.78757994,D2,900
GRAVEL,3,1,23.60432437,D2,900
GRAVEL,3,2,18.12620273,D2,900
GRAVEL,3,3,20.11364884,D2,900
GRAVEL,3,4,18.32199761,D1,900
GRAVEL,3,5,24.02101244,D2,900
GRAVEL,3,6,16.06975533,D1,900
GRAVEL,3,7,31.91341576,D2,900
GRAVEL,3,8,21.97310845,D1,703
GRAVEL,3,9,28.97499745,D2,900
GRAVEL,3,10,24.53632345,D1,900
GRAVEL,3,11,17.8211787,D1,900
GRAVEL,3,12,7.117227099,D1,900
GRAVEL,3,13,23.98479272,D2,900
GRAVEL,3,14,34.20799084,D2,900
GRAVEL,3,15,NA,NA,900
GRAVEL,3,16,32.05730917,D3,900
GRAVEL,3,17,31.25984098,D2,900
GRAVEL,3,18,3.285136364,NA,900
GRAVEL,3,19,36.25531034,D2,900
GRAVEL,3,20,35.52921709,D1,900
GRAVEL,4,1,20.2940012,D2,900
GRAVEL,4,2,28.27187567,D2,900
